job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode
StarCamp DevOps Engineer (Fresher - Hanoi),NAB Innovation Centre Vietnam,Ha Noi - Ho Chi Minh,"DevOps, CI/CD, Security, Agile, Python, English",2025-09-29 21:59:48,https://itviec.com/it-jobs/starcamp-devops-engineer-fresher-hanoi-nab-innovation-centre-vietnam-2752/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=0&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,DevOps Engineer,At office
StarCamp DevOps Engineer (Fresher - Hanoi),NAB Innovation Centre Vietnam,Ho Chi Minh - Ha Noi,,2025-09-29 21:59:49,https://itviec.com/it-jobs/lead-senior-cloud-engineer-gft-technologies-vietnam-2459/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=1&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Cloud Engineer,At office
Lead/Senior Cloud Engineer,GFT Technologies Vietnam,Ho Chi Minh,"Unity, Games, C#, English",2025-09-29 17:59:50,https://itviec.com/it-jobs/unity-game-developer-nexon-dev-vina-5253/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=2&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Game Developer,Hybrid (flexible between home and office)
Unity Game Developer,NEXON DEV VINA,Ha Noi,"Unity, Games, C#, English",2025-09-29 17:59:51,https://itviec.com/it-jobs/senior-devsecops-sre-engineer-azoom-vietnam-3538/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=3&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,DevSecOps Engineer,At office
Senior DevSecOps/SRE Engineer,AZoom VietNam,Ho Chi Minh - Ha Noi,"DevSecOps, Security, Docker, DevOps, JavaScript, Cloud",2025-09-29 17:59:51,https://itviec.com/it-jobs/net-technical-lead-net-core-c-azure-vsol-3713/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=4&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Software/Technical Architect,At office
".NET Technical Lead (.NET Core, C#, Azure)",VSOL,Da Nang,".NET, C#, .Net Core, MVC, Azure, AWS",2025-09-29 16:59:52,https://itviec.com/it-jobs/backend-developer-java-kotlin-oop-sql-spring-git-dgw-asia-3013/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=5&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Backend Developer,At office
"Backend Developer (Java,Kotlin, OOP, SQL, Spring, Git)",DGW Asia,Ho Chi Minh,"Java, Spring Boot, OOP, Kotlin, Spring, SQL",2025-09-29 16:59:53,https://itviec.com/it-jobs/internal-developer-platform-engineer-devops-net-c-mitek-viet-nam-5243/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=6&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,DevOps Engineer,At office
"Internal Developer Platform Engineer (DevOps. NET, C#)",MiTek Viet Nam,Ho Chi Minh - Ha Noi,"DevOps, Azure, Microservices, .NET, C#, IoT Platforms",2025-09-29 16:59:53,https://itviec.com/it-jobs/project-manager-japanese-n2-onsite-japan-nec-vietnam-1255/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=7&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Project Manager,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh"
"Project Manager (Japanese N2+, Onsite Japan)",NEC Vietnam,Ha Noi,"Project Management, Bridge Engineer, Japanese IT Communication, Stakeholder management, Japanese, Team Management",2025-09-29 16:59:54,https://itviec.com/it-jobs/site-reliability-engineering-golang-python-devops-kyber-network-0956/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=8&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Site Reliability Engineer (SRE),Hybrid (flexible between home and office)
"Site Reliability Engineering (Golang, Python, DevOps)",Kyber Network,Ho Chi Minh,"Golang, PostgreSql, GCP, Kubernetes, DevOps, Python",2025-09-29 16:59:55,https://itviec.com/it-jobs/middle-senior-python-developer-saigon-technology-4653/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=9&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Backend Developer,At office
Middle/Senior Python Developer,Saigon Technology,Da Nang,"Python, AWS, Django, English, VueJS, ReactJS",2025-09-29 15:59:56,https://itviec.com/it-jobs/da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-2507/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=10&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Scrum Master / Agile Coach,Hybrid (flexible between home and office)
[Da Nang] Scrum Master,ONE Tech Stop Vietnam Company Ltd,Ho Chi Minh,"Scrum, Team Management, Leadership, English, Agile",2025-09-29 15:59:56,https://itviec.com/it-jobs/senior-golang-developer-vnggames-1514/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=11&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Backend Developer,At office
Senior Golang Developer,VNGGames,Ho Chi Minh,"Golang, API, Java, Spring Boot, JavaScript",2025-09-29 15:59:57,https://itviec.com/it-jobs/software-architect-cloud-ci-cd-devops-ol-vietnam-4613/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=12&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Software/Technical Architect,At office
