[2025-12-04T08:02:23.873+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-12-04T08:02:23.900+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data manual__2025-12-04T06:23:39.449956+00:00 [queued]>
[2025-12-04T08:02:23.908+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data manual__2025-12-04T06:23:39.449956+00:00 [queued]>
[2025-12-04T08:02:23.909+0000] {taskinstance.py:2867} INFO - Starting attempt 14 of 15
[2025-12-04T08:02:23.920+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2025-12-04 06:23:39.449956+00:00
[2025-12-04T08:02:23.925+0000] {standard_task_runner.py:72} INFO - Started process 276 to run task
[2025-12-04T08:02:23.929+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'manual__2025-12-04T06:23:39.449956+00:00', '--job-id', '279', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp6n26vvrt']
[2025-12-04T08:02:23.931+0000] {standard_task_runner.py:105} INFO - Job 279: Subtask crawl_data
[2025-12-04T08:02:23.965+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-12-04T08:02:24.039+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data manual__2025-12-04T06:23:39.449956+00:00 [running]> on host a1de7f96d4f1
[2025-12-04T08:02:24.173+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='alert@datateam.local' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2025-12-04T06:23:39.449956+00:00' AIRFLOW_CTX_TRY_NUMBER='14' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-12-04T06:23:39.449956+00:00'
[2025-12-04T08:02:24.174+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-12-04T08:02:24.188+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-12-04T08:02:24.189+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2025-12-04T08:02:24.199+0000] {subprocess.py:99} INFO - Output:
[2025-12-04T08:02:25.152+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2025-12-04T08:02:30.333+0000] {subprocess.py:106} INFO - 
[2025-12-04T08:02:30.335+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2025-12-04T08:02:41.865+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Senior Data Scientist - Credit Insight | 🔗 https://itviec.com/it-jobs/senior-data-scientist-credit-insight-trusting-social-2616?lab_feature=preview_jd_page
[2025-12-04T08:02:42.387+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 |  | 🔗 https://itviec.com/it-jobs/lead-software-engineer-python-dataxight-3012?lab_feature=preview_jd_page
[2025-12-04T08:02:42.829+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Lead Software Engineer (Python) | 🔗 https://itviec.com/it-jobs/erp-specialist-d365-supply-chain-focus-viet-thai-international-0936?lab_feature=preview_jd_page
[2025-12-04T08:02:43.231+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | ERP Specialist (D365 - Supply Chain Focus) | 🔗 https://itviec.com/it-jobs/erp-specialist-d365-supply-chain-focus-viet-thai-international-0936?lab_feature=preview_jd_page
[2025-12-04T08:02:43.626+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Senior/Lead Quality Engineer (Automation) | 🔗 https://itviec.com/it-jobs/senior-lead-quality-engineer-automation-dataxight-3850?lab_feature=preview_jd_page
[2025-12-04T08:02:44.010+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Mid/Senior DevOps Engineer | 🔗 https://itviec.com/it-jobs/mid-senior-devops-engineer-saigon-technology-4336?lab_feature=preview_jd_page
[2025-12-04T08:02:44.478+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | ERP Specialist (D365 - Finance Focus) | 🔗 https://itviec.com/it-jobs/mid-senior-frontend-developer-reactjs-english-fullerton-health-5308?lab_feature=preview_jd_page
[2025-12-04T08:02:44.991+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Mid/Senior Frontend Developer (ReactJS, English) | 🔗 https://itviec.com/it-jobs/director-of-engineering-fintech-trusting-social-3844?lab_feature=preview_jd_page
[2025-12-04T08:02:45.505+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Director of Engineering - Fintech | 🔗 https://itviec.com/it-jobs/director-of-engineering-fintech-trusting-social-3844?lab_feature=preview_jd_page
[2025-12-04T08:02:45.995+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Senior Shoppify Developer (JavaScript,Typescript,HTML5) | 🔗 https://itviec.com/it-jobs/senior-shoppify-developer-sstech-5503?lab_feature=preview_jd_page
[2025-12-04T08:02:46.285+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | IT Manager | 🔗 https://itviec.com/it-jobs/it-manager-fpt-is-1855?lab_feature=preview_jd_page
