[2025-12-15T11:57:24.012+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-12-15T11:57:24.039+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-14T02:00:00+00:00 [queued]>
[2025-12-15T11:57:24.046+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-14T02:00:00+00:00 [queued]>
[2025-12-15T11:57:24.047+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-12-15T11:57:24.061+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2025-12-14 02:00:00+00:00
[2025-12-15T11:57:24.065+0000] {standard_task_runner.py:72} INFO - Started process 99 to run task
[2025-12-15T11:57:24.069+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2025-12-14T02:00:00+00:00', '--job-id', '374', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp2_y9inwv']
[2025-12-15T11:57:24.070+0000] {standard_task_runner.py:105} INFO - Job 374: Subtask crawl_data
[2025-12-15T11:57:24.092+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-12-15T11:57:24.158+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-14T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2025-12-15T11:57:24.159+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2025-12-15T11:57:24.303+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2025-12-14T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-14T02:00:00+00:00'
[2025-12-15T11:57:24.304+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-12-15T11:57:24.317+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-12-15T11:57:24.318+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2025-12-15T11:57:24.327+0000] {subprocess.py:99} INFO - Output:
[2025-12-15T11:57:25.410+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2025-12-15T11:57:28.599+0000] {subprocess.py:106} INFO - 
[2025-12-15T11:57:28.601+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2025-12-15T11:57:41.942+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Java Developer (Spring/JavaScript) | 🔗 https://itviec.com/it-jobs/java-developer-spring-javascript-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-2419?lab_feature=preview_jd_page
[2025-12-15T11:57:42.207+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Java Developer (Spring/JavaScript) | 🔗 https://itviec.com/it-jobs/java-developer-spring-javascript-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-2419?lab_feature=preview_jd_page
[2025-12-15T11:57:42.420+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Full-stack Java Developer (Java EE, Spring) | 🔗 https://itviec.com/it-jobs/full-stack-java-developer-java-ee-spring-pal-tech-3814?lab_feature=preview_jd_page
[2025-12-15T11:57:42.652+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Senior QA Automation Engineer | 🔗 https://itviec.com/it-jobs/senior-qa-automation-engineer-business4you-ag-0216?lab_feature=preview_jd_page
[2025-12-15T11:57:42.912+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Middle/Senior Fullstack Nodejs | 🔗 https://itviec.com/it-jobs/middle-senior-fullstack-nodejs-softflex-llc-co-ltd-3443?lab_feature=preview_jd_page
[2025-12-15T11:57:43.139+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Tech Services Manager | 🔗 https://itviec.com/it-jobs/tech-services-manager-sunbytes-0905?lab_feature=preview_jd_page
[2025-12-15T11:57:43.353+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior Database Administrator (SQL/Oracle) | 🔗 https://itviec.com/it-jobs/senior-database-administrator-sql-oracle-nab-innovation-centre-vietnam-2305?lab_feature=preview_jd_page
[2025-12-15T11:57:43.528+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | IT Manager (VMware/Cloud/AWS/English) | 🔗 https://itviec.com/it-jobs/it-manager-vmware-cloud-aws-english-nakivo-4918?lab_feature=preview_jd_page
[2025-12-15T11:57:43.711+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Data Engineer (DBA) | 🔗 https://itviec.com/it-jobs/data-engineer-dba-lg-cns-viet-nam-3854?lab_feature=preview_jd_page
[2025-12-15T11:57:43.889+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Full Stack Developer (Java, Springboot, React) | 🔗 https://itviec.com/it-jobs/full-stack-developer-java-springboot-react-lg-cns-viet-nam-3820?lab_feature=preview_jd_page
[2025-12-15T11:57:44.122+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | IT Business Analyst | 🔗 https://itviec.com/it-jobs/it-business-analyst-code88-company-limited-3354?lab_feature=preview_jd_page
[2025-12-15T11:57:44.308+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | Senior IT Support Engineer | 🔗 https://itviec.com/it-jobs/it-support-engineer-jupiter-vietnam-3349?lab_feature=preview_jd_page
