[2025-12-16T12:30:51.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-12-16T12:30:51.535+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-15T02:00:00+00:00 [queued]>
[2025-12-16T12:30:51.545+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-15T02:00:00+00:00 [queued]>
[2025-12-16T12:30:51.546+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-12-16T12:30:51.561+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2025-12-15 02:00:00+00:00
[2025-12-16T12:30:51.565+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2025-12-16T12:30:51.570+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2025-12-15T02:00:00+00:00', '--job-id', '380', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmplyyiqx7j']
[2025-12-16T12:30:51.572+0000] {standard_task_runner.py:105} INFO - Job 380: Subtask crawl_data
[2025-12-16T12:30:51.603+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-12-16T12:30:51.699+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-15T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2025-12-16T12:30:51.700+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2025-12-16T12:30:52.020+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T02:00:00+00:00'
[2025-12-16T12:30:52.021+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-12-16T12:30:52.042+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-12-16T12:30:52.043+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2025-12-16T12:30:52.053+0000] {subprocess.py:99} INFO - Output:
[2025-12-16T12:30:55.670+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2025-12-16T12:30:59.067+0000] {subprocess.py:106} INFO - 
[2025-12-16T12:30:59.069+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2025-12-16T12:31:09.857+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Senior AI Engineer (LLMs, Agents & Embeddings) | 🔗 https://itviec.com/it-jobs/senior-ai-engineer-llms-agents-embeddings-huenx-vietnam-3436?lab_feature=preview_jd_page
[2025-12-16T12:31:10.218+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Senior AI Engineer (LLMs, Agents & Embeddings) | 🔗 https://itviec.com/it-jobs/senior-ai-engineer-llms-agents-embeddings-huenx-vietnam-3436?lab_feature=preview_jd_page
[2025-12-16T12:31:10.652+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Business Analyst (Location: Da Nang, Can Tho, Hybrid) | 🔗 https://itviec.com/it-jobs/business-analyst-location-da-nang-can-tho-hybrid-dirox-0244?lab_feature=preview_jd_page
[2025-12-16T12:31:11.079+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Infrastructure Engineer | 🔗 https://itviec.com/it-jobs/staff-fullstack-ai-engineer-renesas-design-vietnam-4022?lab_feature=preview_jd_page
[2025-12-16T12:31:11.275+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Staff Fullstack AI Engineer | 🔗 https://itviec.com/it-jobs/staff-fullstack-ai-engineer-renesas-design-vietnam-4022?lab_feature=preview_jd_page
[2025-12-16T12:31:11.534+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Senior Technical Writer (API & Architecture, Database) | 🔗 https://itviec.com/it-jobs/senior-technical-writer-galaxy-holdings-2810?lab_feature=preview_jd_page
[2025-12-16T12:31:11.751+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior QC (Location: Da Nang, Can Tho, Hybrid) | 🔗 https://itviec.com/it-jobs/senior-qc-location-da-nang-can-tho-hybrid-dirox-4821?lab_feature=preview_jd_page
[2025-12-16T12:31:12.013+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Data Scientist - eKYC | 🔗 https://itviec.com/it-jobs/data-scientist-ekyc-trusting-social-1105?lab_feature=preview_jd_page
[2025-12-16T12:31:12.289+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Bridge Software Engineer (Japanese) | 🔗 https://itviec.com/it-jobs/project-leader-brse-tieng-nhat-n2-cube-system-viet-nam-4056?lab_feature=preview_jd_page
[2025-12-16T12:31:12.553+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Backend Developer (Java, Golang, MySQL) | 🔗 https://itviec.com/it-jobs/backend-developer-java-kafka-mongodb-mysql-rgp-software-processing-0724?lab_feature=preview_jd_page
[2025-12-16T12:31:12.756+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | DevOps Engineer (Middle/Senior) | 🔗 https://itviec.com/it-jobs/devops-engineer-middle-senior-floating-cube-studios-3744?lab_feature=preview_jd_page
