[2025-12-20T06:51:40.995+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-12-20T06:51:41.041+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-16T02:00:00+00:00 [queued]>
[2025-12-20T06:51:41.054+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-16T02:00:00+00:00 [queued]>
[2025-12-20T06:51:41.055+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-12-20T06:51:41.094+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2025-12-16 02:00:00+00:00
[2025-12-20T06:51:41.100+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2025-12-20T06:51:41.108+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2025-12-16T02:00:00+00:00', '--job-id', '386', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpsu9a5os8']
[2025-12-20T06:51:41.111+0000] {standard_task_runner.py:105} INFO - Job 386: Subtask crawl_data
[2025-12-20T06:51:41.146+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-12-20T06:51:41.232+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-16T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2025-12-20T06:51:41.233+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2025-12-20T06:51:41.468+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2025-12-16T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-16T02:00:00+00:00'
[2025-12-20T06:51:41.473+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-12-20T06:51:41.512+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-12-20T06:51:41.514+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2025-12-20T06:51:41.528+0000] {subprocess.py:99} INFO - Output:
[2025-12-20T06:51:43.778+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2025-12-20T06:51:47.295+0000] {subprocess.py:106} INFO - 
[2025-12-20T06:51:47.296+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2025-12-20T06:51:56.480+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Business analyst leader - VTS | 🔗 https://itviec.com/it-jobs/business-analyst-leader-vts-viettel-group-4151?lab_feature=preview_jd_page
[2025-12-20T06:51:56.655+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Business analyst leader - VTS | 🔗 https://itviec.com/it-jobs/business-analyst-leader-vts-viettel-group-4151?lab_feature=preview_jd_page
[2025-12-20T06:51:56.886+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Embedded Software Engineer (Junior/Middle/Senior) | 🔗 https://itviec.com/it-jobs/embedded-software-engineer-junior-middle-senior-hitachi-digital-services-2312?lab_feature=preview_jd_page
[2025-12-20T06:51:57.151+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Data Scientist | 🔗 https://itviec.com/it-jobs/data-scientist-techcombank-1529?lab_feature=preview_jd_page
[2025-12-20T06:51:57.366+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Viedoc - Automation Engineer (.NET/Java, Selenium) | 🔗 https://itviec.com/it-jobs/viedoc-automation-engineer-net-java-selenium-scandinavian-software-park-2107?lab_feature=preview_jd_page
[2025-12-20T06:51:57.592+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Bridge Software Engineer (BrSE, PO, Japanese) | 🔗 https://itviec.com/it-jobs/bridge-software-engineer-brse-po-japanese-deha-viet-nam-1425?lab_feature=preview_jd_page
[2025-12-20T06:51:57.779+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Database Developer (DB/ETL/MS SQL) | 🔗 https://itviec.com/it-jobs/database-developer-db-etl-ms-sql-rikkeisoft-0538?lab_feature=preview_jd_page
[2025-12-20T06:51:58.000+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Windows Application Developer (C++/MFC) Up~$2000 | 🔗 https://itviec.com/it-jobs/windows-application-developer-c-mfc-up-2000-ewoosoft-vietnam-1305?lab_feature=preview_jd_page
[2025-12-20T06:51:58.223+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | UIUX Designer (Junior/Middle) | 🔗 https://itviec.com/it-jobs/uiux-designer-junior-middle-the-one-digi-corp-2118?lab_feature=preview_jd_page
[2025-12-20T06:51:44.742+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Data Scientist (Customer profile) | 🔗 https://itviec.com/it-jobs/data-scientist-customer-profile-misa-software-5953?lab_feature=preview_jd_page
[2025-12-20T06:51:44.953+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Product Manager (Sản phẩm AI) | 🔗 https://itviec.com/it-jobs/product-manager-san-pham-ai-misa-software-5556?lab_feature=preview_jd_page
[2025-12-20T06:51:59.436+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | VCX - Security Engineer | 🔗 https://itviec.com/it-jobs/vcx-security-engineer-viettel-group-1120?lab_feature=preview_jd_page
[2025-12-20T06:51:59.756+0000] {subprocess.py:106} INFO -  Trang 1 - Job 13/20 | Data Architect (Oracle, PostgreSQL, MongoDB, Redis, S3) | 🔗 https://itviec.com/it-jobs/data-architect-oracle-postgresql-mongodb-redis-s3-mb-bank-0830?lab_feature=preview_jd_page
[2025-12-20T06:52:00.062+0000] {subprocess.py:106} INFO -  Trang 1 - Job 14/20 | Java Backend - 13T Lương - ĐI LÀM SAU TẾT | 🔗 https://itviec.com/it-jobs/backend-developer-java-tpisoftware-co-ltd-1426?lab_feature=preview_jd_page
[2025-12-20T06:52:00.230+0000] {subprocess.py:106} INFO -  Trang 1 - Job 15/20 | Backend Developer | 🔗 https://itviec.com/it-jobs/backend-developer-java-tpisoftware-co-ltd-1426?lab_feature=preview_jd_page
[2025-12-20T06:52:00.435+0000] {subprocess.py:106} INFO -  Trang 1 - Job 16/20 | [Đà Nẵng] System Analyst (Automation Test Knowledge) | 🔗 https://itviec.com/it-jobs/da-nang-system-analyst-automation-test-knowledge-cong-ty-tnhh-tech-mojo-0158?lab_feature=preview_jd_page
[2025-12-20T06:52:00.688+0000] {subprocess.py:106} INFO -  Trang 1 - Job 17/20 | [Hanoi] Mobile Development Manager | 🔗 https://itviec.com/it-jobs/hanoi-mobile-development-manager-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-2836?lab_feature=preview_jd_page
[2025-12-20T06:52:00.920+0000] {subprocess.py:106} INFO -  Trang 1 - Job 18/20 | Data Scientist - eKYC | 🔗 https://itviec.com/it-jobs/data-scientist-ekyc-trusting-social-1105?lab_feature=preview_jd_page
[2025-12-20T06:52:01.115+0000] {subprocess.py:106} INFO -  Trang 1 - Job 19/20 | R&D System Engineer (VMware, Docker, Kubernetes) | 🔗 https://itviec.com/it-jobs/r-d-system-engineer-vmware-docker-kubernetes-globaltech-1020?lab_feature=preview_jd_page
[2025-12-20T06:52:01.317+0000] {subprocess.py:106} INFO -  Trang 1 - Job 20/20 | MLOps Engineer | 🔗 https://itviec.com/it-jobs/mlops-engineer-renesas-design-vietnam-0057?lab_feature=preview_jd_page
[2025-12-20T06:52:01.318+0000] {subprocess.py:106} INFO - 
[2025-12-20T06:52:01.318+0000] {subprocess.py:106} INFO -  Đang crawl trang 2...
