[2026-01-17T09:19:43.074+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-01-17T09:19:43.099+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-16T02:00:00+00:00 [queued]>
[2026-01-17T09:19:43.106+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-16T02:00:00+00:00 [queued]>
[2026-01-17T09:19:43.106+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-01-17T09:19:43.118+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-01-16 02:00:00+00:00
[2026-01-17T09:19:43.122+0000] {standard_task_runner.py:72} INFO - Started process 99 to run task
[2026-01-17T09:19:43.126+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-01-16T02:00:00+00:00', '--job-id', '449', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp14wb4_kb']
[2026-01-17T09:19:43.127+0000] {standard_task_runner.py:105} INFO - Job 449: Subtask crawl_data
[2026-01-17T09:19:43.150+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-01-17T09:19:43.217+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-16T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2026-01-17T09:19:43.218+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-01-17T09:19:43.322+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-16T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-16T02:00:00+00:00'
[2026-01-17T09:19:43.323+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-01-17T09:19:43.334+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-01-17T09:19:43.335+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-01-17T09:19:43.343+0000] {subprocess.py:99} INFO - Output:
[2026-01-17T09:19:47.964+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-01-17T09:19:51.084+0000] {subprocess.py:106} INFO - 
[2026-01-17T09:19:51.084+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-01-17T09:20:00.089+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | IT Service Quality Specialist (ITIL, Incident, ISO) | 🔗 https://itviec.com/it-jobs/it-service-quality-specialist-itil-incident-iso-sacombank-5519?lab_feature=preview_jd_page
[2026-01-17T09:20:00.333+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | IT Service Quality Specialist (ITIL, Incident, ISO) | 🔗 https://itviec.com/it-jobs/it-service-quality-specialist-itil-incident-iso-sacombank-5519?lab_feature=preview_jd_page
[2026-01-17T09:20:00.721+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Flutter/iOS Developer (Objective-C/Swift) | 🔗 https://itviec.com/it-jobs/site-reliability-engineer-devops-cloud-net-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-2801?lab_feature=preview_jd_page
[2026-01-17T09:20:00.926+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Site Reliability Engineer (DevOps/Cloud/.Net) | 🔗 https://itviec.com/it-jobs/site-reliability-engineer-devops-cloud-net-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-2801?lab_feature=preview_jd_page
[2026-01-17T09:20:01.191+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Ruby on Rails Developer (Middle/Senior) | 🔗 https://itviec.com/it-jobs/ruby-on-rails-developer-middle-senior-oivan-5310?lab_feature=preview_jd_page
[2026-01-17T09:20:01.394+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Business Verification Tester (QA, QC, Tester, BA) | 🔗 https://itviec.com/it-jobs/business-verification-tester-qa-qc-tester-ba-nab-innovation-centre-vietnam-4047?lab_feature=preview_jd_page
[2026-01-17T09:20:01.586+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | IT RISK and COMPLIANCE | 🔗 https://itviec.com/it-jobs/it-risk-and-compliance-vnggames-4659?lab_feature=preview_jd_page
[2026-01-17T09:20:01.780+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Security Engineer | 🔗 https://itviec.com/it-jobs/security-engineer-vnggames-1730?lab_feature=preview_jd_page
[2026-01-17T09:20:01.979+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Sr Software Engineer, Machine Learning (AI, English) | 🔗 https://itviec.com/it-jobs/sr-software-engineer-machine-learning-ai-english-geocomply-geotech-hub-vietnam-3711?lab_feature=preview_jd_page
[2026-01-17T09:20:02.174+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Senior Data Analyst (English, data science, fraud/risk) | 🔗 https://itviec.com/it-jobs/senior-data-analyst-english-data-science-fraud-risk-geocomply-geotech-hub-vietnam-1300?lab_feature=preview_jd_page
[2026-01-17T09:20:02.373+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | ERP Specialist (D365 - Finance Focus) | 🔗 https://itviec.com/it-jobs/erp-specialist-d365-finance-focus-viet-thai-international-0935?lab_feature=preview_jd_page
