[2026-01-27T05:35:36.211+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-01-27T05:35:36.248+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-17T02:00:00+00:00 [queued]>
[2026-01-27T05:35:36.258+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-17T02:00:00+00:00 [queued]>
[2026-01-27T05:35:36.259+0000] {taskinstance.py:2867} INFO - Starting attempt 4 of 4
[2026-01-27T05:35:36.271+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-01-17 02:00:00+00:00
[2026-01-27T05:35:36.276+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2026-01-27T05:35:36.280+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-01-17T02:00:00+00:00', '--job-id', '462', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp5afaq8l4']
[2026-01-27T05:35:36.282+0000] {standard_task_runner.py:105} INFO - Job 462: Subtask crawl_data
[2026-01-27T05:35:36.306+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-01-27T05:35:36.383+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-01-17T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2026-01-27T05:35:36.384+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-01-27T05:35:36.599+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-17T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-17T02:00:00+00:00'
[2026-01-27T05:35:36.601+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-01-27T05:35:36.611+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-01-27T05:35:36.612+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-01-27T05:35:36.621+0000] {subprocess.py:99} INFO - Output:
[2026-01-27T05:35:37.541+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-01-27T05:35:40.456+0000] {subprocess.py:106} INFO - 
[2026-01-27T05:35:40.457+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-01-27T05:35:52.343+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | [HN&HCM] StarCamp Java/Javascript Engineer (Fresher) | 🔗 https://itviec.com/it-jobs/hn-hcm-starcamp-java-javascript-engineer-fresher-nab-innovation-centre-vietnam-4641?lab_feature=preview_jd_page
[2026-01-27T05:35:52.592+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | [HN&HCM] StarCamp Java/Javascript Engineer (Fresher) | 🔗 https://itviec.com/it-jobs/hn-hcm-starcamp-java-javascript-engineer-fresher-nab-innovation-centre-vietnam-4641?lab_feature=preview_jd_page
[2026-01-27T05:35:52.832+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Bridge Software Engineer (Early Joining Bonus) | 🔗 https://itviec.com/it-jobs/bridge-software-engineer-early-joining-bonus-vietlink-3239?lab_feature=preview_jd_page
[2026-01-27T05:35:53.227+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | PHP Back-End Developer (Magento) | 🔗 https://itviec.com/it-jobs/php-back-end-developer-magento-forix-2751?lab_feature=preview_jd_page
[2026-01-27T05:35:53.486+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Senior Backend Engineer - AGI | 🔗 https://itviec.com/it-jobs/senior-backend-engineer-agi-trusting-social-2722?lab_feature=preview_jd_page
[2026-01-27T05:35:53.798+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Senior Frontend Engineer (ReactJS) | 🔗 https://itviec.com/it-jobs/senior-frontend-engineer-reactjs-trusting-social-2046?lab_feature=preview_jd_page
[2026-01-27T05:35:54.012+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior Manager, Data Solution Delivery | 🔗 https://itviec.com/it-jobs/senior-manager-data-solution-delivery-fwd-vtc-2708?lab_feature=preview_jd_page
[2026-01-27T05:35:54.218+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | IAM Security Engineering (SailPoint, English) | 🔗 https://itviec.com/it-jobs/iam-security-engineering-sailpoint-english-fwd-vtc-1525?lab_feature=preview_jd_page
[2026-01-27T05:35:54.487+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Cyber Security Consultant | 🔗 https://itviec.com/it-jobs/iam-security-engineering-ciam-auth0-english-fwd-vtc-2321?lab_feature=preview_jd_page
[2026-01-27T05:35:54.696+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | IAM Security Engineering (CIAM – Auth0, English) | 🔗 https://itviec.com/it-jobs/iam-security-engineering-ciam-auth0-english-fwd-vtc-2321?lab_feature=preview_jd_page
[2026-01-27T05:35:54.905+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | HANOI-Fresher/Junior Implementation Consultant (PL/SQL) | 🔗 https://itviec.com/it-jobs/hanoi-fresher-junior-implementation-consultant-pl-sql-openway-asia-1133?lab_feature=preview_jd_page
[2026-01-27T05:35:55.118+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | Software Tester /QA QC (Mobile Apps) | 🔗 https://itviec.com/it-jobs/software-tester-qa-qc-mobile-apps-belive-technology-3427?lab_feature=preview_jd_page
[2026-01-27T05:35:55.363+0000] {subprocess.py:106} INFO -  Trang 1 - Job 13/20 | Senior Game Designer | 🔗 https://itviec.com/it-jobs/senior-game-designer-vnggames-2314?lab_feature=preview_jd_page
[2026-01-27T05:35:55.567+0000] {subprocess.py:106} INFO -  Trang 1 - Job 14/20 | Database Administrator (PostgreSQL, AWS, Agile) | 🔗 https://itviec.com/it-jobs/database-administrator-postgresql-aws-agile-katalon-4427?lab_feature=preview_jd_page
[2026-01-27T05:35:55.740+0000] {subprocess.py:106} INFO -  Trang 1 - Job 15/20 | Chuyên gia Phân tích dữ liệu (Senior Data Analyst) | 🔗 https://itviec.com/it-jobs/chuyen-gia-phan-tich-du-lieu-senior-data-analyst-pvcombank-4702?lab_feature=preview_jd_page
[2026-01-27T05:35:55.935+0000] {subprocess.py:106} INFO -  Trang 1 - Job 16/20 | Java Developer (Mid-level/Senior/Expert) | 🔗 https://itviec.com/it-jobs/java-developer-mid-level-senior-expert-pvcombank-3119?lab_feature=preview_jd_page
[2026-01-27T05:35:56.138+0000] {subprocess.py:106} INFO -  Trang 1 - Job 17/20 | Senior Software Engineer (Native / Flutter) | 🔗 https://itviec.com/it-jobs/senior-software-engineer-native-flutter-elsa-2711?lab_feature=preview_jd_page
[2026-01-27T05:35:56.359+0000] {subprocess.py:106} INFO -  Trang 1 - Job 18/20 | Principal Software Engineer ( Software Architecture ) | 🔗 https://itviec.com/it-jobs/principal-software-engineer-elsa-1852?lab_feature=preview_jd_page
[2026-01-27T05:35:56.574+0000] {subprocess.py:106} INFO -  Trang 1 - Job 19/20 | Backend Engineer (NodeJS, Python, Good English) | 🔗 https://itviec.com/it-jobs/backend-engineer-nodejs-python-good-english-momos-3013?lab_feature=preview_jd_page
