[2026-03-04T11:26:34.571+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-04T11:26:34.603+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-03T02:00:00+00:00 [queued]>
[2026-03-04T11:26:34.618+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-03T02:00:00+00:00 [queued]>
[2026-03-04T11:26:34.619+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-04T11:26:34.635+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-03 02:00:00+00:00
[2026-03-04T11:26:34.640+0000] {standard_task_runner.py:72} INFO - Started process 40 to run task
[2026-03-04T11:26:34.646+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-03T02:00:00+00:00', '--job-id', '618', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp0dvkf53v']
[2026-03-04T11:26:34.648+0000] {standard_task_runner.py:105} INFO - Job 618: Subtask crawl_data
[2026-03-04T11:26:34.681+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-04T11:26:34.793+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-03T02:00:00+00:00 [running]> on host 19d569223134
[2026-03-04T11:26:34.795+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-04T11:26:35.084+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-03T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-03T02:00:00+00:00'
[2026-03-04T11:26:35.085+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-04T11:26:35.112+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-04T11:26:35.113+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-04T11:26:35.123+0000] {subprocess.py:99} INFO - Output:
[2026-03-04T11:26:36.838+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-04T11:26:43.024+0000] {subprocess.py:106} INFO - 
[2026-03-04T11:26:43.025+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-04T11:26:52.388+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | DevOps Engineer (AWS, Cloud) | 🔗 https://itviec.com/it-jobs/devops-engineer-aws-cloud-cubicstack-solutions-1110?lab_feature=preview_jd_page
[2026-03-04T11:26:52.688+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | DevOps Engineer (AWS, Cloud) | 🔗 https://itviec.com/it-jobs/devops-engineer-aws-cloud-cubicstack-solutions-1110?lab_feature=preview_jd_page
[2026-03-04T11:26:52.992+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | (HN/HCM) Senior Frontend Engineer (JavaScript (ES6+)) | 🔗 https://itviec.com/it-jobs/hn-hcm-senior-frontend-engineer-javascript-es6-one-mount-group-0321?lab_feature=preview_jd_page
[2026-03-04T11:26:53.228+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | (HCM) Senior Data Engineer | 🔗 https://itviec.com/it-jobs/hcm-senior-data-engineer-one-mount-group-5514?lab_feature=preview_jd_page
[2026-03-04T11:26:53.489+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Kỹ sư phân tích nghiệp vụ (IT Business Analyst) - VIC | 🔗 https://itviec.com/it-jobs/ky-su-phan-tich-nghiep-vu-it-business-analyst-vic-viettel-group-2803?lab_feature=preview_jd_page
[2026-03-04T11:26:53.722+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | (HN/HCM) Senior Product Owner (Data Platform) | 🔗 https://itviec.com/it-jobs/hn-hcm-senior-product-owner-data-platform-one-mount-group-2600?lab_feature=preview_jd_page
[2026-03-04T11:26:54.027+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior Security Engineer (Infrastructure Security) | 🔗 https://itviec.com/it-jobs/senior-security-engineer-infrastructure-security-ctcp-san-giao-dich-tai-san-ma-hoa-viet-nam-thinh-vuong-caex-2206?lab_feature=preview_jd_page
[2026-03-04T11:26:54.374+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Infrastructure Engineer (System Admin) up to $2500 | 🔗 https://itviec.com/it-jobs/infrastructure-engineer-system-admin-up-to-2500-t2-soft-company-limited-3706?lab_feature=preview_jd_page
[2026-03-04T11:26:54.670+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Manual Test Engineer (Automotive Domain_From 3+YOE) | 🔗 https://itviec.com/it-jobs/manual-test-engineer-automotive-domain_from-3-yoe-lg-electronics-development-vietnam-lgedv-5516?lab_feature=preview_jd_page
[2026-03-04T11:26:55.105+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | [Sign-on Bonus] Project Leader/ BrSE (Japanese N2+) | 🔗 https://itviec.com/it-jobs/sign-on-bonus-project-leader-brse-japanese-n2-nec-vietnam-1124?lab_feature=preview_jd_page
