[2026-03-09T13:15:56.715+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-09T13:15:56.749+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-04T02:00:00+00:00 [queued]>
[2026-03-09T13:15:56.761+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-04T02:00:00+00:00 [queued]>
[2026-03-09T13:15:56.766+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-09T13:15:56.785+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-04 02:00:00+00:00
[2026-03-09T13:15:56.791+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2026-03-09T13:15:56.799+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-04T02:00:00+00:00', '--job-id', '624', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpnza760zg']
[2026-03-09T13:15:56.802+0000] {standard_task_runner.py:105} INFO - Job 624: Subtask crawl_data
[2026-03-09T13:15:56.839+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-09T13:15:56.929+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-04T02:00:00+00:00 [running]> on host 19d569223134
[2026-03-09T13:15:56.930+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-09T13:15:57.148+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-04T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-04T02:00:00+00:00'
[2026-03-09T13:15:57.149+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-09T13:15:57.166+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-09T13:15:57.167+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-09T13:15:57.176+0000] {subprocess.py:99} INFO - Output:
[2026-03-09T13:15:59.253+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-09T13:16:03.542+0000] {subprocess.py:106} INFO - 
[2026-03-09T13:16:03.543+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-09T13:17:15.823+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 |  | 🔗 https://itviec.com/it-jobs/product-designer-ux-ui-remote-fastboy-marketing-3632/content?job_index=0&locale=en&page=1
[2026-03-09T13:17:16.193+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Product Designer (UX/UI- Remote) | 🔗 https://itviec.com/it-jobs/product-designer-ux-ui-remote-fastboy-marketing-3632?lab_feature=preview_jd_page
[2026-03-09T13:17:16.463+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Flutter Developer (Senior/ Middle) | 🔗 https://itviec.com/it-jobs/flutter-developer-senior-middle-vinamilk-3507?lab_feature=preview_jd_page
[2026-03-09T13:17:16.752+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Senior/Lead Software Engineer (Java, Golang, English) | 🔗 https://itviec.com/it-jobs/senior-lead-software-engineer-java-golang-english-gft-technologies-vietnam-1903?lab_feature=preview_jd_page
[2026-03-09T13:17:17.040+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Scrum Master/ Scrum Coach | 🔗 https://itviec.com/it-jobs/scrum-master-scrum-coach-one-mount-group-4914?lab_feature=preview_jd_page
[2026-03-09T13:17:17.281+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Frontend Lead (Reactjs, Javascript) | 🔗 https://itviec.com/it-jobs/frontend-lead-reactjs-javascript-everfit-1344?lab_feature=preview_jd_page
[2026-03-09T13:17:17.587+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Engineering Manager | 🔗 https://itviec.com/it-jobs/engineering-manager-tymex-3047?lab_feature=preview_jd_page
[2026-03-09T13:17:17.871+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Staff Engineer - Backend | 🔗 https://itviec.com/it-jobs/staff-engineer-backend-what3words-4627?lab_feature=preview_jd_page
[2026-03-09T13:17:18.268+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Staff Engineer - Full Stack | 🔗 https://itviec.com/it-jobs/staff-engineer-full-stack-what3words-4605?lab_feature=preview_jd_page
[2026-03-09T13:17:18.702+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Python Developer (Công nghệ quản lý dòng tiền) | 🔗 https://itviec.com/it-jobs/staff-engineer-full-stack-what3words-4537?lab_feature=preview_jd_page
[2026-03-09T13:17:18.942+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Staff Engineer - Full Stack | 🔗 https://itviec.com/it-jobs/staff-engineer-full-stack-what3words-4537?lab_feature=preview_jd_page
[2026-03-09T13:17:19.218+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | Mid-Senior Backend .NET Developer | 🔗 https://itviec.com/it-jobs/mid-senior-backend-net-developer-blogic-systems-4109?lab_feature=preview_jd_page
