[2026-03-11T06:10:11.492+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-11T06:10:11.542+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-10T02:00:00+00:00 [queued]>
[2026-03-11T06:10:11.553+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-10T02:00:00+00:00 [queued]>
[2026-03-11T06:10:11.554+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-11T06:10:11.572+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-10 02:00:00+00:00
[2026-03-11T06:10:11.579+0000] {standard_task_runner.py:72} INFO - Started process 99 to run task
[2026-03-11T06:10:11.584+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-10T02:00:00+00:00', '--job-id', '638', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpoh291fnb']
[2026-03-11T06:10:11.586+0000] {standard_task_runner.py:105} INFO - Job 638: Subtask crawl_data
[2026-03-11T06:10:11.623+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-11T06:10:11.742+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-10T02:00:00+00:00 [running]> on host 19d569223134
[2026-03-11T06:10:11.743+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-11T06:10:11.992+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-10T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-10T02:00:00+00:00'
[2026-03-11T06:10:11.994+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-11T06:10:12.016+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-11T06:10:12.018+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-11T06:10:12.037+0000] {subprocess.py:99} INFO - Output:
[2026-03-11T06:10:14.542+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-11T06:10:19.607+0000] {subprocess.py:106} INFO - 
[2026-03-11T06:10:19.609+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-11T06:10:29.644+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Website Product Manager | 🔗 https://itviec.com/it-jobs/website-product-manager-nakivo-5133?lab_feature=preview_jd_page
[2026-03-11T06:10:30.084+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Website Product Manager | 🔗 https://itviec.com/it-jobs/web-developer-php-javascript-deliveree-on-demand-logistics-0628/content?job_index=1&locale=en&page=1
[2026-03-11T06:10:30.422+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Web Developer (PHP & JavaScript) | 🔗 https://itviec.com/it-jobs/manual-tester-qa-qc-deligroup-5746?lab_feature=preview_jd_page
[2026-03-11T06:10:30.759+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Manual Tester (QA QC) | 🔗 https://itviec.com/it-jobs/senior-ai-engineer-infrastructure-focus-bitcoin-builders-1453?lab_feature=preview_jd_page
[2026-03-11T06:10:31.040+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Senior AI Engineer (Infrastructure Focus) | 🔗 https://itviec.com/it-jobs/senior-ai-engineer-infrastructure-focus-bitcoin-builders-1453?lab_feature=preview_jd_page
[2026-03-11T06:10:31.574+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Middle/SeniorCloud Infrastructure Engineer (AWS/Kuber) | 🔗 https://itviec.com/it-jobs/middle-senior-database-administrator-dba-ngan-hang-tmcp-phuong-dong-ocb-0736?lab_feature=preview_jd_page
[2026-03-11T06:10:31.783+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Middle/Senior Database Administrator (DBA) | 🔗 https://itviec.com/it-jobs/middle-senior-database-administrator-dba-ngan-hang-tmcp-phuong-dong-ocb-0736?lab_feature=preview_jd_page
[2026-03-11T06:10:32.094+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Senior QC (Da Nang, Can Tho, Hybrid) | 🔗 https://itviec.com/it-jobs/senior-qc-da-nang-can-tho-hybrid-dirox-0110?lab_feature=preview_jd_page
[2026-03-11T06:10:32.334+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Senior Backend Developer (Java, Golang, SQL, Database) | 🔗 https://itviec.com/it-jobs/senior-backend-developer-java-golang-sql-database-10x-technology-and-consulting-2235?lab_feature=preview_jd_page
[2026-03-11T06:10:32.559+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Senior Product Owner – B2B SaaS (ERP / E-Office) | 🔗 https://itviec.com/it-jobs/senior-product-owner-b2b-saas-erp-e-office-mymind-0042?lab_feature=preview_jd_page
[2026-03-11T06:10:32.868+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Security Engineer | 🔗 https://itviec.com/it-jobs/security-engineer-cong-ty-co-phan-cmc-openai-3314?lab_feature=preview_jd_page
