[2026-03-13T04:52:11.196+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-13T04:52:11.232+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-11T02:00:00+00:00 [queued]>
[2026-03-13T04:52:11.242+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-11T02:00:00+00:00 [queued]>
[2026-03-13T04:52:11.242+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-13T04:52:11.257+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-11 02:00:00+00:00
[2026-03-13T04:52:11.262+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2026-03-13T04:52:11.267+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-11T02:00:00+00:00', '--job-id', '644', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpvkrgv_1z']
[2026-03-13T04:52:11.268+0000] {standard_task_runner.py:105} INFO - Job 644: Subtask crawl_data
[2026-03-13T04:52:11.300+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-13T04:52:11.386+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-11T02:00:00+00:00 [running]> on host 19d569223134
[2026-03-13T04:52:11.387+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-13T04:52:11.582+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-11T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-11T02:00:00+00:00'
[2026-03-13T04:52:11.583+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-13T04:52:11.603+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-13T04:52:11.604+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-13T04:52:11.614+0000] {subprocess.py:99} INFO - Output:
[2026-03-13T04:52:13.312+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-13T04:52:21.494+0000] {subprocess.py:106} INFO - 
[2026-03-13T04:52:21.495+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-13T04:52:30.945+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Frontend Engineer | 🔗 https://itviec.com/it-jobs/frontend-engineer-vulcan-labs-3434?lab_feature=preview_jd_page
[2026-03-13T04:52:31.146+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Frontend Engineer | 🔗 https://itviec.com/it-jobs/frontend-engineer-vulcan-labs-3434?lab_feature=preview_jd_page
[2026-03-13T04:52:31.420+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Mid/Sr/Lead .NET Backend Developer (C#, SQL, SQL) | 🔗 https://itviec.com/it-jobs/middle-senior-techlead-net-developer-ntq-solution-1918?lab_feature=preview_jd_page
[2026-03-13T04:52:31.631+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Infrastructure Architecture Expert (Cloud, On-premise) | 🔗 https://itviec.com/it-jobs/infrastructure-architecture-expert-cloud-on-premise-abbank-0513?lab_feature=preview_jd_page
[2026-03-13T04:52:31.869+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | [All level] Network Administrator (Cisco/HP/Juniper) | 🔗 https://itviec.com/it-jobs/all-level-network-administrator-cisco-hp-juniper-mb-bank-2537?lab_feature=preview_jd_page
[2026-03-13T04:52:32.077+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Chuyên viên Quản lý Hạ tầng Trung tâm Dữ liệu | 🔗 https://itviec.com/it-jobs/chuyen-vien-quan-ly-ha-tang-trung-tam-du-lieu-mb-bank-1307?lab_feature=preview_jd_page
[2026-03-13T04:52:32.298+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior Bridge Engineer - BrSE (Japanese N2+) | 🔗 https://itviec.com/it-jobs/senior-bridge-engineer-brse-japanese-n2-andpad-vietnam-co-ltd-0043?lab_feature=preview_jd_page
[2026-03-13T04:52:32.543+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Senior iOS Engineer (Swift, MVVM, MVC) | 🔗 https://itviec.com/it-jobs/senior-ios-engineer-swift-mvvm-mvc-epam-vietnam-5530?lab_feature=preview_jd_page
[2026-03-13T04:52:32.776+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Data Engineer (Java/Python/Scala/Hadoop/Kafka) | 🔗 https://itviec.com/it-jobs/data-engineer-java-python-scala-hadoop-kafka-giao-hang-tiet-kiem-3258?lab_feature=preview_jd_page
[2026-03-13T04:52:32.991+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Senior Java Engineer (Spring Boot, Microservices, SQL) | 🔗 https://itviec.com/it-jobs/senior-java-engineer-spring-boot-microservices-sql-epam-vietnam-2900?lab_feature=preview_jd_page
[2026-03-13T04:52:33.246+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Java Spring Boot (20-40 Mil) | 🔗 https://itviec.com/it-jobs/java-spring-boot-20-40-mil-nitori-digital-base-vietnam-1209?lab_feature=preview_jd_page
