[2026-03-17T08:03:57.517+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-17T08:03:57.574+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-13T02:00:00+00:00 [queued]>
[2026-03-17T08:03:57.588+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-13T02:00:00+00:00 [queued]>
[2026-03-17T08:03:57.588+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-17T08:03:57.617+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-13 02:00:00+00:00
[2026-03-17T08:03:57.626+0000] {standard_task_runner.py:72} INFO - Started process 42 to run task
[2026-03-17T08:03:57.634+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-13T02:00:00+00:00', '--job-id', '654', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmppv_3gzp1']
[2026-03-17T08:03:57.635+0000] {standard_task_runner.py:105} INFO - Job 654: Subtask crawl_data
[2026-03-17T08:03:57.674+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-17T08:03:57.795+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-13T02:00:00+00:00 [running]> on host 19d569223134
[2026-03-17T08:03:57.797+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-17T08:03:58.059+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-13T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-13T02:00:00+00:00'
[2026-03-17T08:03:58.060+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-17T08:03:58.080+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-17T08:03:58.081+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-17T08:03:58.092+0000] {subprocess.py:99} INFO - Output:
[2026-03-17T08:03:59.818+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-17T08:04:06.320+0000] {subprocess.py:106} INFO - 
[2026-03-17T08:04:06.321+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-17T08:04:15.794+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Senior Data Engineer (Data Platform) | 🔗 https://itviec.com/it-jobs/senior-data-engineer-data-platform-vinamilk-5546?lab_feature=preview_jd_page
[2026-03-17T08:04:16.105+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Senior Data Engineer (Data Platform) | 🔗 https://itviec.com/it-jobs/senior-data-engineer-data-platform-vinamilk-5546?lab_feature=preview_jd_page
[2026-03-17T08:04:16.448+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Java (Spring) Backend Engineer (Middle/Senior) | 🔗 https://itviec.com/it-jobs/java-spring-backend-engineer-middle-senior-floating-cube-studios-0422?lab_feature=preview_jd_page
[2026-03-17T08:04:16.742+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Information Security & Cyber Resiliance Officer | 🔗 https://itviec.com/it-jobs/information-security-cyber-resiliance-officer-aurify-2322?lab_feature=preview_jd_page
[2026-03-17T08:04:17.038+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Middle Site Reliability Engineer (Python/Golang) | 🔗 https://itviec.com/it-jobs/middle-site-reliability-engineer-python-golang-data-nest-1139?lab_feature=preview_jd_page
[2026-03-17T08:04:17.340+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | DevOps Engineer (Cloud, Terraform, AWS) Up to 50M | 🔗 https://itviec.com/it-jobs/senior-ui-ux-designer-edtech-dol-english-3631/content?job_index=5&locale=en&page=1
[2026-03-17T08:04:17.622+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior UI/UX Designer (Edtech) | 🔗 https://itviec.com/it-jobs/senior-ui-ux-designer-edtech-dol-english-3631?lab_feature=preview_jd_page
[2026-03-17T08:04:17.940+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Android Software Engineer (Senior) | 🔗 https://itviec.com/it-jobs/android-software-engineer-senior-floating-cube-studios-4247?lab_feature=preview_jd_page
[2026-03-17T08:04:18.300+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Technical Lead/Technical Architect | 🔗 https://itviec.com/it-jobs/technical-lead-technical-architect-droppii-3458?lab_feature=preview_jd_page
[2026-03-17T08:04:18.668+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Senior DevOps Engineer (Linux, Git, AWS, CI/CD) | 🔗 https://itviec.com/it-jobs/telecom-business-architect-huawei-5659?lab_feature=preview_jd_page
[2026-03-17T08:04:19.084+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Telecom Business Architect | 🔗 https://itviec.com/it-jobs/it-support-helpdesk-ms365-lan-wan-english-required-four-hands-5556/content?job_index=10&locale=en&page=1
[2026-03-17T08:04:19.398+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | IT Support Helpdesk (Ms365, LAN/WAN, English required) | 🔗 https://itviec.com/it-jobs/it-support-helpdesk-ms365-lan-wan-english-required-four-hands-5556?lab_feature=preview_jd_page
