[2026-03-21T04:26:59.006+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-21T04:26:59.047+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-18T02:00:00+00:00 [queued]>
[2026-03-21T04:26:59.063+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-18T02:00:00+00:00 [queued]>
[2026-03-21T04:26:59.064+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-21T04:26:59.087+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-18 02:00:00+00:00
[2026-03-21T04:26:59.094+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2026-03-21T04:26:59.101+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-18T02:00:00+00:00', '--job-id', '684', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpk3zayc5p']
[2026-03-21T04:26:59.104+0000] {standard_task_runner.py:105} INFO - Job 684: Subtask crawl_data
[2026-03-21T04:26:59.143+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-21T04:26:59.249+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-18T02:00:00+00:00 [running]> on host b48ab74ce2ed
[2026-03-21T04:26:59.251+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-21T04:26:59.509+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-18T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-18T02:00:00+00:00'
[2026-03-21T04:26:59.511+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-21T04:26:59.548+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-21T04:26:59.549+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-21T04:26:59.560+0000] {subprocess.py:99} INFO - Output:
[2026-03-21T04:27:02.083+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-21T04:27:05.218+0000] {subprocess.py:106} INFO - 
[2026-03-21T04:27:05.220+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-21T04:27:15.214+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Mid/Sr Java Developer (English Required) - Up to 3200$ | 🔗 https://itviec.com/it-jobs/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-3215?lab_feature=preview_jd_page
[2026-03-21T04:27:15.585+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Mid/Sr Java Developer (English Required) - Up to 3200$ | 🔗 https://itviec.com/it-jobs/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-3215?lab_feature=preview_jd_page
[2026-03-21T04:27:15.864+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | AI Engineer | 🔗 https://itviec.com/it-jobs/ai-engineer-dirox-0255?lab_feature=preview_jd_page
[2026-03-21T04:27:16.198+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Security Engineer | 🔗 https://itviec.com/it-jobs/security-engineer-cong-ty-co-phan-cmc-openai-3314?lab_feature=preview_jd_page
[2026-03-21T04:27:16.514+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | [Da Nang] Fullstack Developer (Python/Django/JavaScrip) | 🔗 https://itviec.com/it-jobs/da-nang-fullstack-developer-python-django-javascrip-one-tech-stop-vietnam-company-ltd-1148?lab_feature=preview_jd_page
[2026-03-21T04:27:16.855+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | [Da Nang] Full-Stack Developer (ReactJS/ NodeJS) | 🔗 https://itviec.com/it-jobs/da-nang-full-stack-developer-reactjs-nodejs-one-tech-stop-vietnam-company-ltd-1127?lab_feature=preview_jd_page
[2026-03-21T04:27:17.214+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | [Da Nang] Scrum Master | 🔗 https://itviec.com/it-jobs/da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-1104?lab_feature=preview_jd_page
[2026-03-21T04:27:17.579+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | [Da Nang & Ho Chi Minh] Technical Architect | 🔗 https://itviec.com/it-jobs/da-nang-ho-chi-minh-ui-ux-designer-one-tech-stop-vietnam-company-ltd-1214/content?job_index=7&locale=en
[2026-03-21T04:27:18.072+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | [Da Nang / Ho Chi Minh] UI/UX Designer | 🔗 https://itviec.com/it-jobs/tester-qa-qc-japanese-kobo-asia-2954/content?job_index=8&locale=en
[2026-03-21T04:27:18.481+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Tester (QA/QC, Japanese) | 🔗 https://itviec.com/it-jobs/tester-qa-qc-japanese-kobo-asia-2954?lab_feature=preview_jd_page
[2026-03-21T04:27:19.188+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | System Designer - BrSE (Japanese speaking) | 🔗 https://itviec.com/it-jobs/system-designer-brse-japanese-speaking-kobo-asia-4351?lab_feature=preview_jd_page
[2026-03-21T04:27:19.694+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | QA Manager (Tester, Japanese N2+) | 🔗 https://itviec.com/it-jobs/qa-manager-tester-japanese-n2-andpad-vietnam-co-ltd-2949?lab_feature=preview_jd_page
[2026-03-21T04:27:21.743+0000] {subprocess.py:106} INFO -  Trang 1 - Job 13/20 | QA Manager (Tester, Japanese N2+) | 🔗 https://itviec.com/it-jobs/qa-manager-tester-japanese-n2-andpad-vietnam-co-ltd-2949?lab_feature=preview_jd_page
[2026-03-21T04:27:22.460+0000] {subprocess.py:106} INFO -  Trang 1 - Job 14/20 | QA Manager (Tester, Japanese N2+) | 🔗 https://itviec.com/it-jobs/senior-backend-developer-net-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-3121?lab_feature=preview_jd_page
[2026-03-21T04:27:22.862+0000] {subprocess.py:106} INFO -  Trang 1 - Job 15/20 | Senior Backend Developer (.Net) | 🔗 https://itviec.com/it-jobs/senior-backend-developer-net-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-3121?lab_feature=preview_jd_page
[2026-03-21T04:27:23.651+0000] {subprocess.py:106} INFO -  Trang 1 - Job 16/20 | Angular Developer (6-month contract, English) | 🔗 https://itviec.com/it-jobs/angular-developer-6-month-contract-english-topicus-vietnam-0050?lab_feature=preview_jd_page
[2026-03-21T04:27:24.354+0000] {subprocess.py:106} INFO -  Trang 1 - Job 17/20 | Full-stack Developer (Node.js, Vue.js, Angular/Ionic) | 🔗 https://itviec.com/it-jobs/truong-nhom-phat-trien-phan-mem-backoffice-technology-ssi-securities-corporation-3028?lab_feature=preview_jd_page
[2026-03-21T04:27:25.038+0000] {subprocess.py:106} INFO -  Trang 1 - Job 18/20 | BrSE (Bridge System Engineer) cho công ty IT Nhật Bản | 🔗 https://itviec.com/it-jobs/brse-bridge-system-engineer-cho-cong-ty-it-nhat-ban-wbc-viet-nam-2111?lab_feature=preview_jd_page
[2026-03-21T04:27:25.408+0000] {subprocess.py:106} INFO -  Trang 1 - Job 19/20 | BrSE (Bridge System Engineer) cho công ty IT Nhật Bản | 🔗 https://itviec.com/it-jobs/brse-bridge-system-engineer-cho-cong-ty-it-nhat-ban-wbc-viet-nam-2111?lab_feature=preview_jd_page
[2026-03-21T04:27:25.805+0000] {subprocess.py:106} INFO -  Trang 1 - Job 20/20 | Senior Backend Developer (Golang) | 🔗 https://itviec.com/it-jobs/senior-backend-developer-golang-vnggames-1018?lab_feature=preview_jd_page
[2026-03-21T04:27:25.806+0000] {subprocess.py:106} INFO - 
[2026-03-21T04:27:25.806+0000] {subprocess.py:106} INFO -  Đang crawl trang 2...
[2026-03-21T04:27:34.686+0000] {subprocess.py:106} INFO -  Trang 2 - Job 1/20 | AI Engineer (Python, Microservices, Docker) | 🔗 https://itviec.com/it-jobs/ai-engineer-python-microservices-docker-abbank-5403?lab_feature=preview_jd_page
[2026-03-21T04:27:34.968+0000] {subprocess.py:106} INFO -  Trang 2 - Job 2/20 | AI Engineer (Python, Microservices, Docker) | 🔗 https://itviec.com/it-jobs/ai-engineer-python-microservices-docker-abbank-5403?lab_feature=preview_jd_page
[2026-03-21T04:27:35.208+0000] {subprocess.py:106} INFO -  Trang 2 - Job 3/20 | PHP Team Leader (Laravel/ SQL) | 🔗 https://itviec.com/it-jobs/php-team-leader-laravel-sql-oro-vietnam-5846?lab_feature=preview_jd_page
[2026-03-21T04:27:35.586+0000] {subprocess.py:106} INFO -  Trang 2 - Job 4/20 | SAP ABAP/BTP Expert | 🔗 https://itviec.com/it-jobs/sap-abap-btp-expert-cong-ty-tnhh-abeam-consulting-viet-nam-0710?lab_feature=preview_jd_page
[2026-03-21T04:27:35.846+0000] {subprocess.py:106} INFO -  Trang 2 - Job 5/20 | Game Designer | 🔗 https://itviec.com/it-jobs/game-designer-vinsprite-tech-4536?lab_feature=preview_jd_page
[2026-03-21T04:27:36.146+0000] {subprocess.py:106} INFO -  Trang 2 - Job 6/20 | HO - Database Administrator (Oracle, SQL) | 🔗 https://itviec.com/it-jobs/database-administrator-oracle-sql-ngan-hang-a-chau-acb-1556?lab_feature=preview_jd_page
[2026-03-21T04:27:36.398+0000] {subprocess.py:106} INFO -  Trang 2 - Job 7/20 | Web Development (Fresher/ Junior) | 🔗 https://itviec.com/it-jobs/web-development-fresher-junior-webmd-health-services-4905?lab_feature=preview_jd_page
[2026-03-21T04:27:36.600+0000] {subprocess.py:106} INFO -  Trang 2 - Job 8/20 | Site Reliability Engineer (DevOps/Cloud/.Net) | 🔗 https://itviec.com/it-jobs/site-reliability-engineer-devops-cloud-net-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-5516?lab_feature=preview_jd_page
[2026-03-21T04:27:36.888+0000] {subprocess.py:106} INFO -  Trang 2 - Job 9/20 | IMS Developer (Cobol) | 🔗 https://itviec.com/it-jobs/ims-developer-cobol-capgemini-vietnam-5523?lab_feature=preview_jd_page
[2026-03-21T04:27:37.072+0000] {subprocess.py:106} INFO -  Trang 2 - Job 10/20 | Middle Tester (Qa QC, Agile/Scrum) | 🔗 https://itviec.com/it-jobs/middle-tester-qa-qc-agile-scrum-rexy-technology-4743?lab_feature=preview_jd_page
[2026-03-21T04:27:37.282+0000] {subprocess.py:106} INFO -  Trang 2 - Job 11/20 | AI Infrastructure Network Engineer | 🔗 https://itviec.com/it-jobs/ai-infrastructure-network-engineer-one-mount-group-4129?lab_feature=preview_jd_page
[2026-03-21T04:27:37.568+0000] {subprocess.py:106} INFO -  Trang 2 - Job 12/20 | Senior AI System Engineer | 🔗 https://itviec.com/it-jobs/senior-ai-system-engineer-one-mount-group-4930?lab_feature=preview_jd_page
[2026-03-21T04:27:37.830+0000] {subprocess.py:106} INFO -  Trang 2 - Job 13/20 | Mid/Sr Fullstack Developer (C#, ASP.NET, .NET Core) | 🔗 https://itviec.com/it-jobs/mid-sr-fullstack-developer-c-asp-net-net-core-joblogic-1937?lab_feature=preview_jd_page
[2026-03-21T04:27:38.028+0000] {subprocess.py:106} INFO -  Trang 2 - Job 14/20 | Mid/Sr Mobile Developer (Android, iOS, Flutter) | 🔗 https://itviec.com/it-jobs/mid-sr-mobile-android-ios-flutter-joblogic-2736?lab_feature=preview_jd_page
[2026-03-21T04:27:38.255+0000] {subprocess.py:106} INFO -  Trang 2 - Job 15/20 | Product Delivery Manager (SaaS, fluent English) | 🔗 https://itviec.com/it-jobs/product-delivery-manager-saas-fluent-english-joblogic-0430?lab_feature=preview_jd_page
[2026-03-21T04:27:38.489+0000] {subprocess.py:106} INFO -  Trang 2 - Job 16/20 | Principal/Senior QA QC Engineer (Automation,Playwright) | 🔗 https://itviec.com/it-jobs/principal-senior-qa-qc-engineer-automation-playwright-money-forward-vietnam-co-ltd-3816?lab_feature=preview_jd_page
