[2026-03-21T04:43:15.362+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-03-21T04:43:15.392+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-20T02:00:00+00:00 [queued]>
[2026-03-21T04:43:15.403+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-20T02:00:00+00:00 [queued]>
[2026-03-21T04:43:15.404+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-03-21T04:43:15.428+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-03-20 02:00:00+00:00
[2026-03-21T04:43:15.433+0000] {standard_task_runner.py:72} INFO - Started process 99 to run task
[2026-03-21T04:43:15.437+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-03-20T02:00:00+00:00', '--job-id', '688', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp_eaizz0_']
[2026-03-21T04:43:15.440+0000] {standard_task_runner.py:105} INFO - Job 688: Subtask crawl_data
[2026-03-21T04:43:15.477+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-03-21T04:43:15.552+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-03-20T02:00:00+00:00 [running]> on host b48ab74ce2ed
[2026-03-21T04:43:15.553+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-03-21T04:43:15.714+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-20T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-20T02:00:00+00:00'
[2026-03-21T04:43:15.716+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-03-21T04:43:15.728+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-03-21T04:43:15.729+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-03-21T04:43:15.739+0000] {subprocess.py:99} INFO - Output:
[2026-03-21T04:43:17.278+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-03-21T04:43:19.562+0000] {subprocess.py:106} INFO - 
[2026-03-21T04:43:19.562+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-03-21T04:43:28.997+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | Mid/Sr Java Developer (English Required) - Up to 3200$ | 🔗 https://itviec.com/it-jobs/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-3215?lab_feature=preview_jd_page
[2026-03-21T04:43:29.237+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | Mid/Sr Java Developer (English Required) - Up to 3200$ | 🔗 https://itviec.com/it-jobs/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-3215?lab_feature=preview_jd_page
[2026-03-21T04:43:29.450+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | AI Engineer | 🔗 https://itviec.com/it-jobs/ai-engineer-dirox-0255?lab_feature=preview_jd_page
[2026-03-21T04:43:29.851+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Security Engineer | 🔗 https://itviec.com/it-jobs/security-engineer-cong-ty-co-phan-cmc-openai-3314?lab_feature=preview_jd_page
[2026-03-21T04:43:30.142+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | [Da Nang] Fullstack Developer (Python/Django/JavaScrip) | 🔗 https://itviec.com/it-jobs/da-nang-fullstack-developer-python-django-javascrip-one-tech-stop-vietnam-company-ltd-1148?lab_feature=preview_jd_page
[2026-03-21T04:43:30.354+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | [Da Nang] Full-Stack Developer (ReactJS/ NodeJS) | 🔗 https://itviec.com/it-jobs/da-nang-full-stack-developer-reactjs-nodejs-one-tech-stop-vietnam-company-ltd-1127?lab_feature=preview_jd_page
[2026-03-21T04:43:30.567+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | [Da Nang] Scrum Master | 🔗 https://itviec.com/it-jobs/da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-1104?lab_feature=preview_jd_page
[2026-03-21T04:43:30.777+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Tester (QA/QC, Japanese) | 🔗 https://itviec.com/it-jobs/tester-qa-qc-japanese-kobo-asia-2954?lab_feature=preview_jd_page
[2026-03-21T04:43:31.027+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | [Da Nang / Ho Chi Minh] UI/UX Designer | 🔗 https://itviec.com/it-jobs/da-nang-ho-chi-minh-ui-ux-designer-one-tech-stop-vietnam-company-ltd-1214?lab_feature=preview_jd_page
[2026-03-21T04:43:31.231+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | [Da Nang & Ho Chi Minh] Technical Architect | 🔗 https://itviec.com/it-jobs/da-nang-ho-chi-minh-technical-architect-one-tech-stop-vietnam-company-ltd-1004?lab_feature=preview_jd_page
[2026-03-21T04:43:31.467+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | System Designer - BrSE (Japanese speaking) | 🔗 https://itviec.com/it-jobs/system-designer-brse-japanese-speaking-kobo-asia-4351?lab_feature=preview_jd_page
