[2026-04-08T11:41:49.178+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-04-08T11:41:49.224+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-04-07T02:00:00+00:00 [queued]>
[2026-04-08T11:41:49.238+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-04-07T02:00:00+00:00 [queued]>
[2026-04-08T11:41:49.239+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-04-08T11:41:49.256+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2026-04-07 02:00:00+00:00
[2026-04-08T11:41:49.262+0000] {standard_task_runner.py:72} INFO - Started process 42 to run task
[2026-04-08T11:41:49.267+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2026-04-07T02:00:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmp6z9p13n6']
[2026-04-08T11:41:49.269+0000] {standard_task_runner.py:105} INFO - Job 23: Subtask crawl_data
[2026-04-08T11:41:49.307+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2026-04-08T11:41:49.404+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2026-04-07T02:00:00+00:00 [running]> on host 64b3786bead1
[2026-04-08T11:41:49.405+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2026-04-08T11:41:49.549+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoa856856@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2026-04-07T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-04-07T02:00:00+00:00'
[2026-04-08T11:41:49.550+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-04-08T11:41:49.570+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2026-04-08T11:41:49.571+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2026-04-08T11:41:49.581+0000] {subprocess.py:99} INFO - Output:
[2026-04-08T11:41:51.285+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2026-04-08T11:42:18.322+0000] {subprocess.py:106} INFO - 
[2026-04-08T11:42:18.323+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2026-04-08T11:42:28.032+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | [Remote/Hybrid] Backend Engineer (Scala/Kotlin/Golang) | 🔗 https://itviec.com/it-jobs/remote-hybrid-backend-engineer-scala-kotlin-golang-semrush-5630
[2026-04-08T11:42:28.253+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | [Remote/Hybrid] Backend Engineer (Scala/Kotlin/Golang) | 🔗 https://itviec.com/it-jobs/engineer-manager-money-forward-vietnam-co-ltd-0743
[2026-04-08T11:42:28.500+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | Engineer Manager | 🔗 https://itviec.com/it-jobs/project-manager-leansoft-3658
[2026-04-08T11:42:28.694+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Project Manager | 🔗 https://itviec.com/it-jobs/virtualization-engineer-automotive-altaa-vistaa-5534
[2026-04-08T11:42:28.927+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Virtualization Engineer (Automotive) | 🔗 https://itviec.com/it-jobs/some-ip-protocol-engineer-altaa-vistaa-0051
[2026-04-08T11:42:29.164+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | SOME/IP Protocol Engineer | 🔗 https://itviec.com/it-jobs/senior-cloud-architect-itviec-recruitment-consulting-4605
[2026-04-08T11:42:29.417+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Senior Cloud Architect | 🔗 https://itviec.com/it-jobs/senior-mobile-app-developer-react-native-full-stack-itviec-recruitment-consulting-3946
[2026-04-08T11:42:29.669+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | Senior Mobile App Developer (React Native / Full Stack) | 🔗 https://itviec.com/it-jobs/mid-senior-java-backend-developer-spring-english-logicentra-4651
[2026-04-08T11:42:29.905+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Mid-Senior Java Backend Developer (Spring, English) | 🔗 https://itviec.com/it-jobs/software-architect-altaa-vistaa-3836
[2026-04-08T11:42:30.166+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Software Architect | 🔗 https://itviec.com/it-jobs/software-engineer-react-native-pizza-hut-digital-technology-2355
[2026-04-08T11:42:30.491+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Software Engineer (React-Native) | 🔗 https://itviec.com/it-jobs/middle-senior-ai-engineer-st-engineering-0802
[2026-04-08T11:42:30.677+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | Middle/ Senior AI Engineer | 🔗 https://itviec.com/it-jobs/manual-tester-games-qa-qc-tester-52-entertainment-3313
[2026-04-08T11:42:30.906+0000] {subprocess.py:106} INFO -  Trang 1 - Job 13/20 | Manual Tester (Games, QA QC, Tester) | 🔗 https://itviec.com/it-jobs/salesforce-developer-soql-sosl-apex-javascript-t2-soft-company-limited-5128
