job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode,crawl_date
Chuyên viên Vận hành Middleware và Cơ sở dữ liệu,Vietbank,Ho Chi Minh,"PostgreSql, XML, JSON, SOAP, IBM DB2, Kafka",2025-12-08 10:17:50,https://itviec.com/it-jobs/chuyen-vien-van-hanh-middleware-va-co-so-du-lieu-vietbank-4513?lab_feature=preview_jd_page,Banking & Financial Systems Developer,At office,2025-12-08 13:32:59
Chuyên viên Vận hành Middleware và Cơ sở dữ liệu,Vietbank,Ha Noi,"Oracle, AWS",2025-12-08 10:17:51,https://itviec.com/it-jobs/data-engineer-dba-lg-cns-viet-nam-3854?lab_feature=preview_jd_page,Data Engineer,At office,2025-12-08 13:32:59
Chuyên viên Vận hành CoreBanking,Vietbank,Ha Noi,"Spring Boot, ReactJS",2025-12-08 10:17:52,https://itviec.com/it-jobs/chuyen-vien-van-hanh-corebanking-vietbank-3818?lab_feature=preview_jd_page,Fullstack Developer,At office,2025-12-08 13:32:59
,CODE88 COMPANY LIMITED,Ho Chi Minh,"Business Analysis, English",2025-12-08 10:17:52,https://itviec.com/it-jobs/it-business-analyst-code88-company-limited-3354?lab_feature=preview_jd_page,Business Analyst,At office,2025-12-08 13:32:59
,MetaCrew,Ho Chi Minh,"NodeJS, AWS, Azure, Python, AI, ReactJS",2025-12-08 09:17:53,https://itviec.com/it-jobs/backend-developer-node-js-metacrew-3217?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-08 13:32:59
Backend Developer (Node JS),C2C Tech Hub,Ho Chi Minh,"ReactJS, NextJS, JavaScript",2025-12-08 09:17:53,https://itviec.com/it-jobs/frontend-engineer-reactjs-nextjs-javascript-c2c-tech-hub-0119?lab_feature=preview_jd_page,Frontend Developer,At office,2025-12-08 13:32:59
TMO - Solution Architecture Manager,Ngân Hàng Á Châu | ACB,Ho Chi Minh,"Enterprise Architecture, IT Governance, ITIL Foundation, System Architecture, Technology Roadmapping, TOGAF",2025-12-08 09:17:54,https://itviec.com/it-jobs/solution-architecture-manager-ngan-hang-a-chau-acb-0323?lab_feature=preview_jd_page,Enterprise Architect,At office,2025-12-08 13:32:59
TMO - Enterprise Architecture Senior Manager (TOGAF),Ngân Hàng Á Châu | ACB,Ha Noi - Da Nang,"Cloud, Terraform, Kubernetes, AWS",2025-12-08 08:17:55,https://itviec.com/it-jobs/senior-devops-sre-engineer-smartdev-llc-5923/content?job_index=9&locale=en&page=1,DevOps Engineer,Hybrid (flexible between home and office),2025-12-08 13:32:59
Senior DevOps/SRE Engineer,SmartDev LLC,Ha Noi,"Data Science, PyTorch, TensorFlow, Machine Learning, SQL, Python",2025-12-08 08:17:55,https://itviec.com/it-jobs/senior-devops-sre-engineer-smartdev-llc-5923?lab_feature=preview_jd_page,Data Scientist,At office,2025-12-08 13:32:59
Senior Data Scientist (Python/ SQL) - OB After Tết,Sun Group,Ho Chi Minh,"VueJS, English, ReactJS, Nuxt.js, TypeScript, JavaScript",2025-12-08 07:17:56,https://itviec.com/it-jobs/senior-principal-frontend-engineer-vuejs-money-forward-vietnam-co-ltd-1317?lab_feature=preview_jd_page,Frontend Developer,Hybrid (flexible between home and office),2025-12-08 13:32:59
Senior/Principal Frontend Engineer (VueJS),"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,"Java, Windows Server, API, Linux, Microservices, Spring",2025-12-08 07:17:56,https://itviec.com/it-jobs/cv-phat-trien-ung-dung-java-developer-sacombank-0506/content?job_index=12&locale=en&page=1,Backend Developer,At office,2025-12-08 13:32:59
CV Phát triển ứng dụng (Java Developer),Sacombank,Ho Chi Minh,"Product strategy, Product Management, Leadership, Software Architecture, Team Management, English",2025-12-08 07:17:57,https://itviec.com/it-jobs/chief-technology-officer-cto-titan-dms-2845/content?job_index=13&locale=en&page=1,"C-level (CTO, CIO, CISO, CDO)",Hybrid (flexible between home and office),2025-12-08 13:32:59
Chief Technology Officer (CTO),Titan DMS,Ha Noi,"Spring Boot, API, Microservices, NoSQL, Cloud, SQL",2025-12-08 06:18:00,https://itviec.com/it-jobs/chief-technology-officer-cto-titan-dms-2845?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-08 13:32:59
"Backend Developer (Spring Boot, SQL)",Trung tâm CNTT Tập đoàn Bảo Việt,Ho Chi Minh,"Android, CI/CD, TypeScript, JSON, Flutter, Mobile Apps",2025-12-08 05:18:00,https://itviec.com/it-jobs/backend-developer-spring-boot-sql-trung-tam-cntt-tap-doan-bao-viet-2237?lab_feature=preview_jd_page,Mobile Application Developer,At office,2025-12-08 13:32:59
Staff Mobile Engineer (Android),Be Group,Ha Noi,"ASP.NET, Spring, Golang, Kafka, Java",2025-12-08 05:18:01,https://itviec.com/it-jobs/backend-developer-java-net-golang-vinsmart-future-0348/content?job_index=16&locale=en&page=1,Backend Developer,At office,2025-12-08 13:32:59
